"","YEAR","Sex","Race.Ethnicity","condition","AgeGroup","ASDR"
"1",2019,"Both","All","AllCause","25+",1253.73835590538
"2",2019,"Both","All","Alzheimer.disease..G30.","25+",54.4881263045982
"3",2019,"Both","All","Cerebrovascular.diseases..I60.I69.","25+",67.1509477718826
"4",2019,"Both","All","Chronic.lower.respiratory.diseases..J40.J47.","25+",70.524956413995
"5",2019,"Both","All","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"6",2019,"Both","All","Diabetes.mellitus..E10.E14.","25+",39.2372142970725
"7",2019,"Both","All","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",294.964730031135
"8",2019,"Both","All","ExternalCause","25+",98.9979381886737
"9",2019,"Both","All","Influenza.and.pneumonia..J09.J18.","25+",22.0752307039917
"10",2019,"Both","All","Malignant.neoplasms..C00.C97.","25+",268.440131787743
"11",2019,"Both","All","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",23.1063441585557
"12",2019,"Both","All","nonCovid","25+",1253.73835590538
"13",2019,"Both","All","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",19.6144913762092
"14",2019,"Both","All","Septicemia..A40.A41.","25+",17.0984890028314
"15",2019,"Both","All","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",13.0142842294053
"16",2019,"Both","All","Unknown","25+",265.025471639286
"17",2019,"Both","Hispanic","AllCause","25+",918.186551722724
"18",2019,"Both","Hispanic","Alzheimer.disease..G30.","25+",46.5322385673531
"19",2019,"Both","Hispanic","Cerebrovascular.diseases..I60.I69.","25+",59.7176932349841
"20",2019,"Both","Hispanic","Chronic.lower.respiratory.diseases..J40.J47.","25+",29.4960087917528
"21",2019,"Both","Hispanic","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"22",2019,"Both","Hispanic","Diabetes.mellitus..E10.E14.","25+",47.2794857203018
"23",2019,"Both","Hispanic","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",204.357223451733
